"from","to","number"
"br.com.trevisantecnologia.centerweb.business.IntegrationValidatorMock","br.com.trevisantecnologia.centerweb.service.IntegrationServiceMock",1
"br.com.trevisantecnologia.centerweb.business.ItemCategoryValidator","br.com.trevisantecnologia.centerweb.service.ItemCategoryService",1
"br.com.trevisantecnologia.centerweb.business.ItemValidator","br.com.trevisantecnologia.centerweb.service.ItemService",1
"br.com.trevisantecnologia.centerweb.business.ItineraryValidator","br.com.trevisantecnologia.centerweb.service.ItineraryService",1
"br.com.trevisantecnologia.centerweb.business.Local3DimensionValidator","br.com.trevisantecnologia.centerweb.service.Local3DimensionService",1
"br.com.trevisantecnologia.centerweb.business.MediaValidator","br.com.trevisantecnologia.centerweb.service.media.MediaService",1
"br.com.trevisantecnologia.centerweb.business.ScheduleItemValidator","br.com.trevisantecnologia.centerweb.service.ScheduleItemService",1
"br.com.trevisantecnologia.centerweb.business.ScheduleTypeValidator","br.com.trevisantecnologia.centerweb.service.ScheduleTypeService",1
"br.com.trevisantecnologia.centerweb.business.SectionSubGroupValidator","br.com.trevisantecnologia.centerweb.service.SectionSubGroupService",1
"br.com.trevisantecnologia.centerweb.business.ServiceLocalActivityValidator","br.com.trevisantecnologia.centerweb.service.ServiceLocalActivityService",1
"br.com.trevisantecnologia.centerweb.business.ServiceLocalClassificationValidator","br.com.trevisantecnologia.centerweb.service.ServiceLocalClassificationService",1
"br.com.trevisantecnologia.centerweb.business.ServiceLocalTeamValidator","br.com.trevisantecnologia.centerweb.service.ServiceLocalTeamService",1
"br.com.trevisantecnologia.centerweb.business.ServiceLocalTypeValidator","br.com.trevisantecnologia.centerweb.service.ServiceLocalTypeService",1
"br.com.trevisantecnologia.centerweb.business.ServiceLocalValidator","br.com.trevisantecnologia.centerweb.service.ServiceLocalService",1
"br.com.trevisantecnologia.centerweb.business.SubGroupValidator","br.com.trevisantecnologia.centerweb.service.SubGroupService",1
"br.com.trevisantecnologia.centerweb.business.TeamTypeValidator","br.com.trevisantecnologia.centerweb.service.TeamTypeService",1
"br.com.trevisantecnologia.centerweb.business.TeamValidator","br.com.trevisantecnologia.centerweb.service.TeamService",1
"br.com.trevisantecnologia.centerweb.business.WorkspaceValidator","br.com.trevisantecnologia.centerweb.service.WorkspaceService",1
"br.com.trevisantecnologia.centerweb.business.agentteam.AgentTeamValidator","br.com.trevisantecnologia.centerweb.service.AgentTeamService",1
"br.com.trevisantecnologia.centerweb.business.schedule.ScheduleValidator","br.com.trevisantecnologia.centerweb.service.ScheduleService",1
"br.com.trevisantecnologia.centerweb.controller.ImporterController","br.com.trevisantecnologia.centerweb.service.ImporterService",1
"br.com.trevisantecnologia.centerweb.factory.ImportLayoutFactory","br.com.trevisantecnologia.centerweb.service.ImportLayoutService",1
"br.com.trevisantecnologia.centerweb.helper.FieldCustomSettingMandatoryResolver","br.com.trevisantecnologia.centerweb.model.FieldCustomSetting",1
"br.com.trevisantecnologia.centerweb.helper.FieldCustomSettingViewHelper","br.com.trevisantecnologia.centerweb.util.UserSettings",1
"br.com.trevisantecnologia.centerweb.helper.PasswordHelper","br.com.trevisantecnologia.centerweb.service.PasswordHistoryService",1
"br.com.trevisantecnologia.centerweb.model.Schedule","br.com.trevisantecnologia.centerweb.serialization.APIScheduleConverter",1
"br.com.trevisantecnologia.centerweb.service.AbstractConfigFieldsService","br.com.trevisantecnologia.centerweb.strategy.ConfigFieldCustomTypeHelperStrategy",1
"br.com.trevisantecnologia.centerweb.service.AbstractConfigFieldsService","br.com.trevisantecnologia.centerweb.strategy.ConfigFieldHelperStrategy",1
"br.com.trevisantecnologia.centerweb.service.AbstractConfigFieldsService","br.com.trevisantecnologia.centerweb.strategy.ConfigFieldPhysicalTypeHelperStrategy",1
"br.com.trevisantecnologia.centerweb.service.AccessRoleService","br.com.trevisantecnologia.centerweb.validation.AccessRoleValidator",1
"br.com.trevisantecnologia.centerweb.service.AgentService","br.com.trevisantecnologia.centerweb.util.UserInfo",1
"br.com.trevisantecnologia.centerweb.service.ClientService","br.com.trevisantecnologia.centerweb.util.UserInfo",1
"br.com.trevisantecnologia.centerweb.service.MixService","br.com.trevisantecnologia.centerweb.validation.MixValidator",1
"br.com.trevisantecnologia.centerweb.service.MixTypeService","br.com.trevisantecnologia.centerweb.validation.MixTypeValidator",1
"br.com.trevisantecnologia.centerweb.service.SectionFieldService","br.com.trevisantecnologia.centerweb.service.activity.section.SectionService",1
"br.com.trevisantecnologia.centerweb.service.SystemParametersService","br.com.trevisantecnologia.centerweb.util.UserInfo",1
